title,address,acess,age,floor,fee,manegement_fee,deposit,qratuity,madori,menseki
東急多摩川線 矢口渡駅 4階建 築35年,東京都大田区多摩川１, 東急多摩川線/矢口渡駅 歩5分 東急池上線/蓮沼駅 歩11分 東急多摩川線/武蔵新田駅 歩17分 , 築35年 4階建 ,             3階,6.1万円,3000円,6.1万円,-,ワンルーム,19.09m2
東急多摩川線 矢口渡駅 4階建 築35年,東京都大田区多摩川１, 東急多摩川線/矢口渡駅 歩5分 東急池上線/蓮沼駅 歩11分 東急多摩川線/武蔵新田駅 歩17分 , 築35年 4階建 ,             4階,6.2万円,3000円,6.2万円,-,ワンルーム,19.09m2
東急多摩川線 矢口渡駅 4階建 築35年,東京都大田区多摩川１, 東急多摩川線/矢口渡駅 歩5分 東急池上線/蓮沼駅 歩11分 東急多摩川線/武蔵新田駅 歩17分 , 築35年 4階建 ,             4階,6.2万円,3000円,6.2万円,-,ワンルーム,19.09m2
東急多摩川線 矢口渡駅 4階建 築35年,東京都大田区多摩川１, 東急多摩川線/矢口渡駅 歩5分 東急池上線/蓮沼駅 歩11分 東急多摩川線/武蔵新田駅 歩17分 , 築35年 4階建 ,             4階,6.7万円,3000円,6.7万円,-,ワンルーム,24.88m2
東急多摩川線 矢口渡駅 4階建 築35年,東京都大田区多摩川１, 東急多摩川線/矢口渡駅 歩5分 東急池上線/蓮沼駅 歩11分 東急多摩川線/武蔵新田駅 歩17分 , 築35年 4階建 ,             1階,8.6万円,3000円,8.6万円,-,1DK,28.96m2
メゾンベール,東京都大田区矢口１, 東急多摩川線/武蔵新田駅 歩5分 東急池上線/千鳥町駅 歩13分 東急多摩川線/矢口渡駅 歩12分 , 築35年 3階建 ,             2階,6.2万円,2000円,-,-,ワンルーム,20.09m2
メゾンベール,東京都大田区矢口１, 東急多摩川線/武蔵新田駅 歩5分 東急池上線/千鳥町駅 歩13分 東急多摩川線/矢口渡駅 歩12分 , 築35年 3階建 ,             1階,6.2万円,2000円,-,-,ワンルーム,20.09m2
東急目黒線 大岡山駅 4階建 築32年,東京都大田区南千束２, 東急目黒線/大岡山駅 歩9分 東急大井町線/北千束駅 歩5分 東急目黒線/洗足駅 歩9分 , 築32年 4階建 ,             1階,5.8万円,-,5.8万円,5.8万円,ワンルーム,20.9m2
メインステージ大森町駅前,東京都大田区大森西３, 京急本線/大森町駅 歩2分 京急本線/平和島駅 歩9分 京急本線/梅屋敷駅 歩12分 , 築29年 8階建 ,             3階,5.5万円,5000円,5.5万円,5.5万円,ワンルーム,17.43m2
メインステージ大森町駅前,東京都大田区大森西３, 京急本線/大森町駅 歩2分 京急本線/平和島駅 歩9分 京急本線/梅屋敷駅 歩12分 , 築29年 8階建 ,             3階,5.8万円,3000円,5.8万円,5.8万円,ワンルーム,17.43m2
